price,id,fuel_type,model,mileage,registration,country,zip,transmission,power,post_url
39950,e9bc9646-70b2-4f16-a6bc-86c2c74a9c14,b,t-roc,66856,11-2020,nl,1704 SR,Automatisch,221 kW (300 PK),/aanbod/volkswagen-t-roc-2-0-tsi-4motion-r-pano-akrapovic-acc-navi-benzine-zwart-e9bc9646-70b2-4f16-a6bc-86c2c74a9c14
19445,e36f5d87-dbbf-4a58-ac33-052d25b72edc,b,t-roc,95345,07-2018,nl,6662 PT,Handgeschakeld,85 kW (116 PK),/aanbod/volkswagen-t-roc-1-0-tsi-style-nap-nl-auto-panno-pdc-1e-eigenaar-benzine-bruin-e36f5d87-dbbf-4a58-ac33-052d25b72edc
25595,a75d687d-eb68-4d32-b547-bd2dbed0c088,b,t-roc,48379,03-2019,nl,5627 BS,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-150pk-tsi-automaat-trekhaak-afneembaar-adapti-benzine-wit-a75d687d-eb68-4d32-b547-bd2dbed0c088
20900,9d17f32b-b1fe-4a9d-b8b5-5b6272611a3b,b,t-roc,97921,01-2019,nl,4905 BJ,Handgeschakeld,85 kW (116 PK),/aanbod/volkswagen-t-roc-1-0-tsi-style-panoramadak-adaptive-cruise-contro-benzine-zwart-9d17f32b-b1fe-4a9d-b8b5-5b6272611a3b
29942,cbb2fd6f-1a94-4b6e-881a-1092682ad357,b,t-roc,42933,11-2019,nl,5349 AK,Automatisch,140 kW (190 PK),/aanbod/volkswagen-t-roc-2-0-tsi-4motion-dsg-r-line-acc-carplay-virtual-dab-benzine-grijs-cbb2fd6f-1a94-4b6e-881a-1092682ad357
26950,057fe32b-bae9-47e8-977e-ce1358d75aa1,b,t-roc,37994,05-2019,nl,3161 GJ,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-sport-dsg-navi-camera-schuifdak-benzine-wit-057fe32b-bae9-47e8-977e-ce1358d75aa1
26349,db7b8d34-9f71-4866-84e6-14c7275a361e,b,t-roc,55085,10-2019,nl,1101 BA,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-sport-business-r-150pk-da82670-navi-benzine-grijs-db7b8d34-9f71-4866-84e6-14c7275a361e
39900,8a84c455-a696-4385-ac0b-62d816948c00,b,t-roc,71314,10-2020,nl,1432 CG,Automatisch,221 kW (300 PK),/aanbod/volkswagen-t-roc-r-2-0-tsi-4motion-pano-akrapovic-301-pk-benzine-wit-8a84c455-a696-4385-ac0b-62d816948c00
21490,c8db97e3-18d7-49f5-95a1-e56128f9e4a3,b,t-roc,83261,03-2021,nl,7025 AD,Handgeschakeld,81 kW (110 PK),/aanbod/volkswagen-t-roc-1-0-tsi-style-business-110pk-acc-apple-carplay-benzine-blauw-c8db97e3-18d7-49f5-95a1-e56128f9e4a3
22445,c9e2758e-95a0-4a26-bf75-280162f84e48,b,t-roc,57808,02-2019,nl,2821 LH,Handgeschakeld,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-150pk-style-navi-adapt-cruise-trekhaak-benzine-wit-c9e2758e-95a0-4a26-bf75-280162f84e48
20950,b3e5caca-53e1-4d9b-a183-f0bc6ecf6a41,b,t-roc,56367,04-2019,nl,2685 LR,Handgeschakeld,85 kW (116 PK),/aanbod/volkswagen-t-roc-1-0-tsi-navi-clima-carplay-benzine-wit-b3e5caca-53e1-4d9b-a183-f0bc6ecf6a41
26750,d47e4293-ba7a-4f61-bf32-9eeccac11edf,b,t-roc,52898,01-2021,nl,4905 BJ,Automatisch,111 kW (151 PK),/aanbod/volkswagen-t-roc-1-5-tsi-style-dsg-virtual-cockpit-carplay-benzine-grijs-d47e4293-ba7a-4f61-bf32-9eeccac11edf
19900,0ea7e62d-c69f-49a2-a1fa-10ed99abf2c5,b,t-roc,115173,07-2019,nl,6826 TS,Handgeschakeld,85 kW (116 PK),/aanbod/volkswagen-t-roc-1-0-tsi-style-acc-lane-assist-navi-apple-carpla-benzine-zwart-0ea7e62d-c69f-49a2-a1fa-10ed99abf2c5
29450,78359ad8-83f4-4bc9-a6fa-29f7988fbcd4,b,t-roc,71000,08-2018,nl,7008 AR,Automatisch,140 kW (190 PK),/aanbod/volkswagen-t-roc-2-0-tsi-4motion-sport-pano-leder-beats-benzine-grijs-78359ad8-83f4-4bc9-a6fa-29f7988fbcd4
20950,0c992f95-cdb8-45ed-816e-2913336c9a6b,b,t-roc,44105,01-2020,nl,5441 PL,Handgeschakeld,85 kW (116 PK),/aanbod/volkswagen-t-roc-1-0-tsi-115pk-style-business-benzine-oranje-0c992f95-cdb8-45ed-816e-2913336c9a6b
29679,0cb37620-0019-46cb-95fc-815a9471a729,b,t-roc,66787,12-2018,nl,2952 AX,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-sport-r-line-pano-virtual-adapt-cruise-ca-benzine-grijs-0cb37620-0019-46cb-95fc-815a9471a729
26950,aa656d2b-15b1-4ddd-86d8-3ce7691d2443,b,t-roc,95755,05-2018,nl,7532 SW,Automatisch,140 kW (190 PK),/aanbod/volkswagen-t-roc-2-0-tsi-dsg-sport-4motion-leder-camera-acc-led-sto-benzine-blauw-aa656d2b-15b1-4ddd-86d8-3ce7691d2443
26250,df65a919-aae9-422c-b27c-686b0c352148,b,t-roc,59746,02-2021,nl,6665 CB,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-style-business-inclusief-afleveringskosten-benzine-grijs-df65a919-aae9-422c-b27c-686b0c352148
56450,5f46d2de-b4fb-4ad9-8682-5306fff6b149,b,t-roc,19224,09-2022,nl,3421 GV,Automatisch,221 kW (300 PK),/aanbod/volkswagen-t-roc-2-0-tsi-4motion-r-300pk-akrapovic-panoramada-benzine-zwart-5f46d2de-b4fb-4ad9-8682-5306fff6b149
28945,22db1fbe-354c-4231-a78b-17208259d3df,b,t-roc,67213,09-2018,nl,2671 DB,Automatisch,140 kW (190 PK),/aanbod/volkswagen-t-roc-2-0-tsi-4motion-sport-highline-pano-virtcock-leder-benzine-zwart-22db1fbe-354c-4231-a78b-17208259d3df
22995,b5439f83-f6ff-4c69-97fc-a58e25eeba81,b,t-roc,66475,02-2020,nl,2675 KJ,Handgeschakeld,85 kW (116 PK),/aanbod/volkswagen-t-roc-1-0-tsi-style-business-climate-control-stoelve-benzine-wit-b5439f83-f6ff-4c69-97fc-a58e25eeba81
22650,e9bb35c2-c307-4b9d-91b9-de3df8e16bc1,b,t-roc,98346,11-2019,nl,8356 VS,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-style-dsg-trekhaak-adaptive-nl-aut-benzine-wit-e9bb35c2-c307-4b9d-91b9-de3df8e16bc1
39950,3e8008e4-29f7-4bf5-bb99-e59457c84a5e,b,t-roc,7000,09-2022,nl,1115 AD,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-r-line-keyless-carplay-pano-2022-benzine-zwart-3e8008e4-29f7-4bf5-bb99-e59457c84a5e
28800,8cd3f610-1137-4585-817e-f689fbf397f2,b,t-roc,27597,06-2021,nl,6665 CB,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-style-business-inclusief-afleveringskosten-benzine-grijs-8cd3f610-1137-4585-817e-f689fbf397f2
21749,0a3e657e-72a1-4dba-ab7e-2cb0dde4337e,b,t-roc,111092,01-2019,nl,7913 TC,Handgeschakeld,85 kW (116 PK),/aanbod/volkswagen-t-roc-1-0-tsi-116pk-h6-sport-virtual-cockpit-led-navigat-benzine-grijs-0a3e657e-72a1-4dba-ab7e-2cb0dde4337e
17450,5e92f173-e6f3-42b3-b490-5f67d292c968,b,t-roc,213315,05-2019,nl,6665 CB,Handgeschakeld,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-style-inclusief-afleveringskosten-benzine-grijs-5e92f173-e6f3-42b3-b490-5f67d292c968
29950,bb76d00c-aced-435a-832b-5c374f42e7f4,b,t-roc,20836,06-2022,nl,3411 JW,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-150pk-dsg-life-business-automaat-led-acc-benzine-grijs-bb76d00c-aced-435a-832b-5c374f42e7f4
29949,314a1bad-d924-40d6-b76a-1791006c3836,b,t-roc,73475,01-2020,nl,7913 TC,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-150pk-dsg-r-line-sport-beats-camera-virtua-benzine-wit-314a1bad-d924-40d6-b76a-1791006c3836
28890,659d4b02-27a5-4d5d-90a0-1342867f272e,b,t-roc,56153,11-2020,nl,7532 SW,Automatisch,110 kW (150 PK),/aanbod/volkswagen-t-roc-1-5-tsi-dsg-r-line-led-acc-camera-stoelverw-e-klep-benzine-wit-659d4b02-27a5-4d5d-90a0-1342867f272e
21950,9993c10d-32b1-469d-91b0-543bc37569ae,b,t-roc,44335,06-2020,nl,2371 EW,Handgeschakeld,85 kW (116 PK),/aanbod/volkswagen-t-roc-1-0-tsi-style-bluetooth-benzine-grijs-9993c10d-32b1-469d-91b0-543bc37569ae
